Net,Conexoes principais,Classe
+5V_SYS,"F1.2; C1+; C2+; C3+; D1.A; D2.K; U2.IN; J_PMS.VCC; J_GAS.VCC; TP_5V",POWER_5V
ESP_PWR_DIODE,"D1.K; JP1.1",POWER_5V
ESP32_VIN,"JP1.2; J_ESP_R.VIN",POWER_5V
+3V3_SENS,"U2.OUT; J_SHT.VCC; J_SGP.VCC; J_SCD.VCC; SJ1.1; SJ2.1; TP_3V3",POWER_3V3
GND,"todos os GND; capacitores negativos; R2.2; D2.A; TP_GND",GROUND
I2C_SDA,"J_ESP_L.D21/GPIO21; J_SHT.SDA; J_SGP.SDA; J_SCD.SDA; SJ1.2; TP_SDA",SIGNAL
I2C_SCL,"J_ESP_L.D22/GPIO22; J_SHT.SCL; J_SGP.SCL; J_SCD.SCL; SJ2.2; TP_SCL",SIGNAL
PMS_TX,"J_PMS.TX; J_ESP_L.D16/GPIO16",SIGNAL
PMS_RX,"J_ESP_L.D17/GPIO17; J_PMS.RX",SIGNAL
GAS_OUT,"J_GAS.VOUT; R1.1",ANALOG
ADC_DIV,"R1.2; R2.1; C11.1; R3.1",ANALOG
ADC_PROT,"R3.2; J_ESP_R.D34/GPIO34; TP_ADC; clamps opcionais",ANALOG
